ID,Register,IDLEGAL,NOMBRE,APELLIDO,GENERO,NACIMIENTO,STATUS,Parent
36,01/02/2010,2407105489,EDITH ,GAITAN,0,06/02/1947,1,33
37,01/02/2010,2323209372,GABRIELA ,BURGOS,0,07/30/1965,1,22
38,01/02/2010,4768044838,BLANCA ESPERANZA,TALERO TIBADUIZA,0,12/23/1976,1,12
39,01/03/2010,5482318875,MILTON ,MORALES,0,11/02/1995,1,16
40,01/03/2010,5863938463,CAROLINA ,FONSECA,0,12/21/1941,1,2
41,01/03/2010,5572245944,RUBEN FERNANDO,BECERRA,0,10/23/1986,1,22
42,01/03/2010,6136619319,DIEGO ALEJANDRO,ZAPATA,0,03/23/1988,1,15
43,01/03/2010,5781367166,HELVER ,SIMBAQUEBA,1,12/11/1965,1,22
44,01/03/2010,1999591676,RAFAEL,BOSIGA,2,04/15/1988,1,20
45,01/03/2010,7152511574,LICEO ,GONZALEZ ,0,06/01/1941,1,36
46,01/03/2010,3916997941,MAURO,SUAREZ,0,09/14/1948,1,9
47,01/03/2010,931226833,HUGO FERNEY,PAEZ,0,03/12/1974,1,34
48,01/03/2010,2847897342,LYDA FERNANDA ,SIERRA SIERRA,2,04/26/1960,1,21
49,01/03/2010,6954673551,JOSE HUGO,REYES,1,03/05/1986,1,42
50,01/03/2010,5240345857,NICOLAS,CACERES,0,06/27/1970,1,22
51,01/03/2010,8907274472,ESTEBAN,TORREZ,1,12/25/1979,1,2
52,01/03/2010,5344773285,MAURICIO ,REYES CAMARGO,2,01/21/1941,1,34
53,01/03/2010,4141129135,MAURICIO ,MURCIA FONSECA,0,12/19/1969,1,52
54,01/03/2010,6499953350,JORGE ,LEGUIZAMON,0,09/23/1959,1,29
55,01/03/2010,6667741303,JHON,RODRIGUEZ,1,11/04/1961,1,47
56,01/03/2010,6733270622,ARTURO ,MURILLO VARGAS,1,07/21/1994,1,27
57,01/04/2010,8619857697,MAURICIO,ALFONSO,0,12/23/1960,1,24
58,01/04/2010,5571830483,FREDY,JAIMES,1,09/26/1957,1,36
59,01/04/2010,5460575336,RENE ,CORTAZAR NIETO,0,08/30/1946,1,38
60,01/04/2010,3008768124,EQUIDAD,DIAZ,0,01/20/1959,1,44
61,01/04/2010,7908591536,FELIPE ,SOLARTE,0,04/10/1952,1,12
62,01/04/2010,9967890534,JHON ,RIVERA,0,02/04/1979,1,32
63,01/04/2010,6654964160,LYDA MARCELA,BAYONA CANO,2,02/17/1952,1,53
64,01/04/2010,5062112830,IVAN ,ARTEAGA AREVALO,0,07/03/1960,1,40
65,01/04/2010,6414510865,EDUARD ,RAUL JAIMES VERA,0,08/10/1981,1,22
66,01/04/2010,8184942774,JUAN PABLO,TOVAR,2,02/28/1958,1,46
67,01/04/2010,2834995595,OLGA LUCIA ,DUEÑAS LOPEZ,2,09/10/1965,1,11
68,01/04/2010,6740526498,ADRIANA ,GUZMAN ,0,11/28/1970,1,50
69,01/04/2010,1855637751,JULIO ,HERNAN ROA SALCEDO,0,06/24/1950,2,10
70,01/04/2010,9789557791,JAVIER ,MORENO,0,03/20/1960,1,26
71,01/04/2010,4056433636,ALEX,TORRES,0,10/17/1949,1,66
72,01/04/2010,9137522263,DIEGO,CORREA,1,09/05/1966,1,15
73,01/04/2010,4270835806,CUY,BERTILDE,2,11/23/1988,1,57
74,01/04/2010,1052100769,OSCAR,MOLINA,1,03/07/1971,1,28
75,01/04/2010,5100494981,ABELARDO ,PACHECO,0,02/04/1997,1,17
76,01/05/2010,6673072284,MARTHA ,BAEZ,0,03/03/1962,1,32
77,01/05/2010,2498861715,ANA MARIA ,HIGUERA,0,06/11/1966,1,47
78,01/05/2010,7552585913,DANIEL ,ROSERO,0,05/15/1977,1,62
79,01/05/2010,3251393660,JUAN ,ESTUPIÑAN,0,07/09/1996,1,57
80,01/05/2010,4675219791,HECTOR,RICAURTE,0,10/27/1990,1,58
81,01/05/2010,4410148488,DAIRO ,MONROY,0,02/20/1987,1,67
82,01/05/2010,759501104,MARIA ,JOSE,0,07/18/1981,1,46
83,01/05/2010,8923323202,ROCIO ,RANGEL,0,11/14/1966,1,67
84,01/05/2010,2387913592,EDGAR HOLGUIN ,MOLANO,0,10/15/1943,1,16
85,01/05/2010,5140911852,ANDERSON,JEREZ,0,10/14/1984,1,10
86,01/05/2010,7473706998,LILIANA ,SIERRA RONCANCIO,0,04/24/1958,1,10
87,01/05/2010,790709293,LEONOR ,SOLER,0,12/15/1945,1,63
88,01/05/2010,4536449359,JULIAN LEONARDO,BENITEZ,2,11/12/1991,1,36
89,01/05/2010,5054312196,JOHANA ,SIMBAQUEVA,0,03/30/1988,1,16
90,01/05/2010,9962400008,ERIC JULIAN ,MEDINA,1,04/13/1946,1,65
91,01/05/2010,2572592447,JUAN ,CARLOS CARO,0,12/10/1988,1,50
92,01/05/2010,3329232841,LEONARDO ,MARQUEZ,0,04/06/1957,1,15
93,01/05/2010,9042210443,JORGE ,SANCHEZ,0,06/01/1968,1,81
94,01/05/2010,1600092031,NATALIA,JIMENEZ,0,07/13/1991,1,30
95,01/05/2010,7696449516,LINA,RODRIGUEZ GUNSALEZ ,0,07/09/1997,1,10
96,01/05/2010,5044484047,YEISON FABIAN ,PIRAJAN PACHECO,1,07/30/1963,1,50
97,01/05/2010,7409354170,FANY ,RINTA TIRADO,0,10/05/1943,1,29
98,01/06/2010,1221146489,DANIEL,DAVID,0,09/14/1941,1,16
99,01/06/2010,4192410408,CAMILO ,GONZALEZ,0,01/01/1963,1,66
100,01/06/2010,9895391375,NATALIA ,CARLOS GAMEZ,0,06/28/1986,1,48
101,01/06/2010,1113968623,JAIME ,CETINA ,1,05/17/1976,1,13
102,01/06/2010,3860162649,JANETH ,MORENO,0,04/04/1995,1,95
103,01/06/2010,3484490669,MARIA FERNANDA ,GONZALEZ,0,05/09/1979,1,64
104,01/06/2010,308063925,ADRIANA ,ESPINOZA,0,01/18/1942,1,73
105,01/06/2010,170022565,JORGE ,FONSECA ,0,10/22/1960,1,55
106,01/06/2010,9083418805,JULIO ,GALVIS SAAVEDRA,0,10/21/1964,1,37
107,01/06/2010,6556422742,GABRIEL ,PEÑA,1,11/05/1959,1,71
108,01/06/2010,1030913178,DIEGO FERNANDO ,SANCHEZ,1,10/16/1957,1,35
109,01/06/2010,5810094058,MARTHA ,BUITRAGO,0,07/14/1991,1,8
110,01/06/2010,4924502649,NAPOLEON,DAZA,1,04/09/1983,1,57
111,01/06/2010,986289104,LIGIA GALEANO,TORRES,0,09/08/1985,1,45
112,01/06/2010,4846211710,NORBERTO ,MALAGON,0,04/08/1951,1,99
113,01/06/2010,6905873056,HUGO,URBANO,2,08/31/1967,1,20
114,01/06/2010,1743547820,SERGIO ,ARISMENDI,0,02/19/1973,1,15
115,01/06/2010,2967178557,JULIO,ARIAS DUITAMA,0,11/05/1969,1,74
116,01/06/2010,3005521166,MARIA ,PINEDA PEREZ,0,11/18/1963,1,78
117,01/07/2010,3890933614,HERNAN ,CALLEJAS,0,09/03/1981,1,112
118,01/07/2010,1477488076,MEGAPLOTTER ,OCHOA,0,09/06/1990,1,15
119,01/07/2010,1867593849,LINA MARIA,AMARILLO ,0,04/23/1969,1,64
120,01/07/2010,8903356103,YENNY ,RODRIGUEZ,0,09/13/1992,1,51
121,01/07/2010,8568139259,MIGUEL,GIL,2,03/03/1960,1,63
122,01/07/2010,1326483752,GLORIA ESTELA ,PATRICIA BOHADA,0,11/30/1960,1,34
123,01/07/2010,9062969958,LUISA FERNANDA ,CASTILLO,2,04/22/1961,1,26
124,01/07/2010,8749517460,PEDRO,GONSALEZ,1,09/21/1996,1,43
125,01/07/2010,9152304163,FIDEL ,BURGOS,0,08/05/1982,1,115
126,01/07/2010,396453029,MARTHA ,GALINDO ,0,09/17/1945,1,109
127,01/07/2010,6824415488,DIANA ,COUSINS,0,05/28/1993,1,89
128,01/07/2010,500606637,LINA ,GONZALEZ ,0,10/07/1954,1,54
129,01/07/2010,5113852647,YEISON ,SALAS,0,09/17/1949,1,29
130,01/07/2010,8135717626,SERAFIN ,ROJAS,0,08/26/1957,1,42
131,01/07/2010,3040766426,GUSTAVO ,HERNANDEZ,0,08/28/1940,1,20
132,01/08/2010,1095369096,RUBEN,PENAGOS BERNAL,1,01/23/1976,1,59
133,01/08/2010,1682421343,JHON ,GUEVARA,0,10/06/1942,1,27
134,01/08/2010,3927706907,CESAR ,SOTO,0,10/20/1954,1,52
135,01/08/2010,4955737208,MARIA ,BERNAL,0,08/11/1991,1,97
136,01/08/2010,7270681419,SONIA,AVENDAÑO,0,03/21/1947,1,37
137,01/08/2010,666662409,CLARA,GRANADOS,0,01/14/1951,2,44
138,01/08/2010,9068049270,LIDIA ,BARON,0,05/01/1984,1,54
139,01/08/2010,1162511242,WILLIAM,BLANCO ,0,12/09/1958,1,34
140,01/08/2010,7937677827,JAIRO,RODRIGUEZ,0,02/24/1969,1,127
141,01/08/2010,8729945532,EDGAR ,RINCON,0,06/30/1974,1,78
142,01/08/2010,874343239,JULIANA ,QUINTERO,0,08/12/1996,1,125
143,01/08/2010,155987829,SANDRA,ROBAYO,0,07/17/1964,2,49
144,01/08/2010,9600269546,FRED ,CUY FAUSTINO,0,08/12/1976,1,129
145,01/08/2010,8467499017,JONY ,PARRA,0,11/05/1941,1,101
146,01/08/2010,4385967866,ANDRES FERNANDO,CHAPARRO CARDOZO,0,10/09/1941,1,100
147,01/08/2010,1821163130,ARMANDO,JUNCO,0,09/30/1959,1,16
148,01/08/2010,3840634652,LUIS RAMIRO ,FONSECA LEON ,1,06/09/1941,1,83
149,01/08/2010,8423750718,CAMILO ANDRES,SERPA,2,02/10/1952,1,119
150,01/08/2010,2469569218,ALIRIO,MANRIQUEZ,0,02/10/1941,1,108
151,01/08/2010,756820139,VIVIANA ,MOLINA,2,05/02/1971,1,14
152,01/08/2010,5000788557,HERNAN ,CAMACHO,0,08/14/1986,1,45
153,01/09/2010,4266017439,LAURA ,TORRES,2,10/26/1944,1,123
154,01/09/2010,8457486202,YOLIBE ,ARIAS,0,07/06/1986,1,75
155,01/09/2010,6603722329,ALFREDO,RIVERA,0,04/20/1987,1,60
156,01/09/2010,5703548983,FERNANDO ,CASTILLO,0,10/22/1963,1,148
157,01/09/2010,8369981047,NORBETO ,SUPELANO,0,12/06/1960,1,116
158,01/09/2010,7978375674,ANTONIO,SANCHEZ,1,10/19/1965,1,107
159,01/09/2010,2266285479,FREDI HERNANDO,MEDINA MEDINA,1,05/19/1963,1,91
160,01/09/2010,6303000768,OSCAR ARMANDO ,RAMIREZ ,0,12/23/1970,1,10
161,01/09/2010,2304769434,ALEXANDER,CARDENAS,1,05/22/1983,1,40
162,01/09/2010,9442009270,SIMON ,ANGULO,0,08/16/1980,1,76
163,01/09/2010,3107995609,ALEJANDRO ,ARELLANO,0,09/16/1965,1,19
164,01/09/2010,1900354385,DIANA ,JIMENEZ,2,03/09/1970,1,98
165,01/09/2010,3643463285,FLOR ELVIRA ,RUSSI,2,02/14/1971,1,106
166,01/09/2010,99794954,FAUSTO GIOVANNY ,MOLINA VARGAS,1,10/05/1962,1,27
167,01/09/2010,4097232631,GABRIELA,HERNANDEZ,2,08/16/1942,1,109
168,01/09/2010,2956813643,CAMILO,AVILA,1,11/16/1950,1,113
169,01/09/2010,5406916541,EDGAR ,RUBIANO OLARTE,1,04/18/1960,1,111
170,01/10/2010,6428563575,MARCELA ,NIÑO,2,07/24/1970,1,32
171,01/10/2010,2905129610,JUAN CARLOS,CAMARGO AYALA,0,09/22/1989,1,125
172,01/10/2010,7085025668,MONICA ,ORJUELA,0,05/06/1951,1,64
173,01/10/2010,3763852668,DIANA,BERMUDEZ,2,04/30/1975,1,88
174,01/10/2010,6294965817,MIGUEL ,CUNCANCHON,0,10/05/1983,1,28
175,01/10/2010,4755397985,LAURA ,VALLEJO,0,07/04/1950,1,41
176,01/10/2010,1683129057,MIGUEL ANGEL,BUSTAMANTE PARADA,1,09/20/1945,1,162
177,01/10/2010,6081137321,NELSON JAVIER,NEIRA,0,03/18/1944,1,41
178,01/10/2010,9306673474,PATRICIA ,SAMACA,0,05/15/1950,1,170
179,01/10/2010,7571230879,HECTOR,ORJUELA,1,04/05/1976,1,19
180,01/10/2010,5027753356,MAURICIO ,MEDINA,0,07/29/1941,1,40
181,01/10/2010,2095335223,PEDRO,HERNANDEZ,0,01/22/1995,1,72
182,01/10/2010,4812091464,JULIAN ,MARTINEZ,0,08/22/1951,1,31
183,01/10/2010,3342048464,JONATHAN ,LOPEZ BECERRA,0,12/26/1983,1,63
184,01/10/2010,2427088093,FELIPE ,PALACIO,0,01/19/1988,1,56
185,01/10/2010,3081874904,LEONARDO ,SALAZAR PINZON,1,05/01/1947,1,61
186,01/10/2010,9309734408,NANCY ,CUADRADO ,0,04/23/1946,1,56
187,01/10/2010,3516840319,MAURICIO ,RIVERA,0,02/09/1947,1,183
188,01/10/2010,9271011021,WILLIAM CAMILO,SUAREZ,0,07/30/1983,2,83
189,01/10/2010,6255442040,RENE ,CHAVEZ QUINTERO,0,10/24/1976,1,108
190,01/10/2010,7991474430,DIEGO ,PULIDO RINCON,0,07/19/1977,1,27
191,01/10/2010,1626717754,CESAR ,REYES,0,02/25/1977,1,163
192,01/10/2010,848398291,FERNANDO ,JIMENEZ BETANCOURT ,0,05/12/1964,1,9
193,01/10/2010,4080955546,JONATHAN MAURICIO,OCAMPO ,0,06/14/1958,1,160
194,01/10/2010,1225770187,DAVID ,ALBA,0,01/20/1949,1,85
195,01/10/2010,1775246736,MARLEN ,PULIDO,0,10/11/1986,1,162
196,01/10/2010,4012173162,FABIAN ,FONSECA,0,05/20/1948,1,151
197,01/11/2010,8525289561,MIGUEL FELIPE ,NEIRA,0,07/27/1960,1,132
198,01/11/2010,3876176312,ALEXIS,BUITRAGO,0,05/10/1971,1,145
199,01/11/2010,6176211193,CRLOS,RUBIANO,0,08/29/1992,1,125
200,01/11/2010,8097157552,PAULA ANDREA ,ROJAS,2,03/24/1944,1,187
201,01/11/2010,1947306049,AURA ,MEDINA,0,11/23/1953,1,177
202,01/11/2010,6249306867,WILLIAM MAURCIO ,BUSTAMANTE,1,05/31/1944,1,176
203,01/11/2010,1276361692,LILIANA,ALVAREZ,2,05/14/1963,1,7
204,01/11/2010,434303457,GIOVANNY,GUERRERO,1,03/27/1956,1,115
205,01/11/2010,7042648544,JULIAN CAMILO,BARRIOS,0,12/29/1958,1,112
206,01/11/2010,4325249692,JAQUELINE ,CEPEDA,0,12/13/1968,2,161
207,01/11/2010,7594299588,SANDRA,CADENA,0,07/07/1951,1,7
208,01/11/2010,2912156034,DIANA CRISTINA,PEREZ,0,12/17/1973,1,140
209,01/11/2010,7095435261,JUAN ,SEBASTIAN BERNAL,0,12/08/1978,1,64
210,01/11/2010,1299285543,MARTHA CECILIA ,GOMEZ BARRERA,2,09/28/1968,1,190
211,01/11/2010,7606982862,ESTELLA ,CIFUENTES,0,10/16/1967,1,99
212,01/11/2010,2665728385,ALEJANDRO ,GARAVITO,0,07/18/1963,1,186
213,01/11/2010,1784262258,CAROLINA ,GARCIA,0,03/08/1993,1,42
214,01/11/2010,1414355334,HERNANDO ,CARVAJAL,1,11/11/1968,2,24
215,01/11/2010,9567007968,JOHANA ,ROMERO,0,03/24/1966,1,21
216,01/11/2010,91657216,MAURICIO ,ATARA,0,02/07/1993,1,172
217,01/11/2010,2416666917,KAREN ,BUITRAGO LOPEZ,0,10/31/1960,1,40
218,01/12/2010,2214057358,CAMILO ,ROSALES,0,02/14/1950,1,207
219,01/12/2010,2549038472,MILTON,GONZALEZ,0,10/23/1996,1,110
220,01/12/2010,9664775106,DAVID,AVELLANEDA,1,10/03/1996,1,212
221,01/12/2010,2032871248,SERGIO,DIAZ,1,09/14/1966,1,192
222,01/12/2010,8867536579,MARTIN,HERRERA,2,02/04/1950,1,78
223,01/12/2010,4161429404,OSCAR ALFREDO,HIGUERA DIAZ,0,06/09/1945,1,84
224,01/12/2010,4443780485,CESAR ,SAINEA,1,02/17/1954,1,34
225,01/12/2010,4219970225,MARISOL ,SOLER ,2,01/07/1957,1,158
226,01/12/2010,4801596241,GERMAN ORLANDO ,GALINDO,1,09/21/1967,1,132
227,01/12/2010,6867058672,MARITZA,BAUTISTA,2,05/14/1958,1,136
228,01/12/2010,2935341558,JAVIER ,PEREZ,0,08/17/1949,1,209
229,01/12/2010,318950397,ANDRES CAMILO,LOPEZ ,0,08/06/1980,1,123
230,01/12/2010,6636185833,WILMER ALBERTO,PINZON,1,04/16/1953,1,51
231,01/12/2010,5518675054,ANDRES ,TORRES,0,02/03/1984,1,52
232,01/13/2010,8761050185,IVON ,EUGENIA MOTTA,0,06/01/1975,1,68
233,01/13/2010,8159203305,JAVIER GIOVANY ,PAEZ,1,11/04/1956,1,161
234,01/13/2010,4113230732,JHON JAIRO,CASTIBLANCO,0,05/18/1988,1,43
235,01/13/2010,3830373889,CLAUDIA ,MORENO,2,05/23/1962,1,184
236,01/13/2010,5823132842,JAIRO ,MARIÑO,0,08/29/1991,1,60
237,01/13/2010,9963285619,JAIRO GABRIEL,GUTIERREZ,1,01/02/1956,1,99
238,01/13/2010,7631347537,GILBERTO,MORALES SANCHEZ,0,10/12/1971,1,156
239,01/13/2010,5704286575,ANGELA ROCIO,RUIZ ROJAS,2,10/08/1973,1,98
240,01/13/2010,9623571959,JOSE ROLANDO ,AVILA,1,08/18/1958,1,32
241,01/13/2010,2484123319,CAMILO,CARRILLO,0,09/28/1980,1,167
242,01/13/2010,7416279506,MIGUEL ,RUIZ,0,07/30/1959,1,142
243,01/13/2010,8984397483,ELIAS ,LOPEZ,0,11/29/1949,2,131
244,01/13/2010,3596021532,ADRIANA MARCELA,CHAPARRO,2,01/21/1972,1,163
245,01/13/2010,7446996790,ELMER,VARGAS,1,06/01/1984,1,82
246,01/13/2010,3950564562,PEDRO,RODRIGUEZ,0,12/05/1984,1,21
247,01/13/2010,2900907892,FLOR ,RIAÑO,0,11/02/1944,1,92
248,01/13/2010,5765157846,ANA ,VIRGINIA GRANADOS,0,02/09/1941,1,49
249,01/13/2010,6859811292,EDUARDO ,SANABRIA,0,03/13/1972,1,48
250,01/13/2010,3201363910,MAICOL,BERNAL,2,11/24/1967,2,107
251,01/13/2010,4275204934,YENNY,CESAR GARCIA,0,10/15/1988,1,75
252,01/14/2010,6636227675,MARCELA ,ESPINEL,0,12/25/1974,1,83
253,01/14/2010,7364764024,JOSE ,MENDOZA,0,04/10/1987,1,179
254,01/14/2010,7970949857,JULIA ,PEREIRA SUAREZ,0,11/11/1942,2,21
255,01/14/2010,8848524707,SULMA ,MORA,0,11/08/1974,1,60
256,01/14/2010,4338565535,SANDRA MARCELA ,MONROY ,0,12/31/1972,1,62
257,01/14/2010,7558703845,ILDELBRANDO ,AGUILAR,0,02/10/1947,1,92
258,01/14/2010,7387772499,DIANA ,PAOLA PACHON,0,10/28/1949,1,194
259,01/14/2010,6940728318,JUAN GUILLERMO,HUERTAS,0,10/02/1966,1,257
260,01/14/2010,5742885171,PILAR ,CANO,0,08/22/1955,1,27
261,01/14/2010,9790252614,LUIS ,MORENO,0,10/17/1997,1,256
262,01/14/2010,5415851671,CARLOS ALFONSO,VEGA,0,05/12/1990,1,52
263,01/14/2010,30617471,ANGELA ,BUITRAGO MONROY,2,07/24/1987,1,161
264,01/14/2010,9540242442,ANGELA LILIANA ,TAVERA ,2,02/04/1976,1,67
265,01/14/2010,866632037,JOSE LIBARDO,RUIZ SAAVEDRA,2,10/26/1971,1,86
266,01/14/2010,4374697880,DEASY ,LOPEZ,1,10/05/1940,1,14
267,01/14/2010,1873490353,DANIEL ,DIAZ GONZALEZ,0,03/02/1945,1,235
268,01/14/2010,8066447767,SANTIAGO,NIÑO,1,03/28/1946,1,116
269,01/14/2010,3848283995,JAVIER ,GONZALEZ,0,06/06/1993,1,42
270,01/14/2010,2406083398,IVAN ,MOLANO,0,01/29/1948,1,132
271,01/14/2010,1163171696,VICTOR ,LARROTA,0,02/17/1958,1,41
272,01/14/2010,5855309292,GLORIA ,SANDOVAL,0,12/11/1969,1,44
273,01/14/2010,6053797881,ARTURO ,BOHORQUEZ,0,09/18/1974,1,208
274,01/14/2010,713741513,MELIZA,LOPEZ,0,05/13/1948,1,171
275,01/14/2010,3136143476,ROSA ,ELENA LIZARAZO,0,09/18/1946,1,143
276,01/14/2010,7976778011,DIANA ,CALERO,0,01/18/1950,1,60
277,01/15/2010,4331421851,MANUEL ,AGUILAR,1,02/20/1982,1,58
278,01/15/2010,8661490463,NELSON ,CIPAGAUTA,1,07/17/1966,1,208
279,01/15/2010,575881345,LUCIO ,SALAZAR,0,09/23/1955,1,52
280,01/15/2010,7792923661,SANTIAGO ,MENESES GALINDO,0,06/14/1994,1,84
281,01/15/2010,3503584008,NELSI ,GAMBOA,0,10/03/1973,1,82
282,01/15/2010,3243945591,CRISTIAN ESTIBEN,MARIÑO,2,11/25/1953,1,133
283,01/15/2010,2468924635,ALVARO,VELASQUEZ,1,10/17/1990,1,123
284,01/15/2010,8452426390,BEATRIZ ,GANDUR CHACON ,2,11/06/1995,1,107
285,01/15/2010,5606673228,JUAN ,VARGAS,0,03/01/1976,1,265
286,01/15/2010,347990327,ANA MILENA,HERRERA,1,06/16/1995,1,155
287,01/15/2010,4882205055,LUCIA ,CASTRO,0,03/07/1994,1,246
288,01/16/2010,8273763711,YOHANA ,GUTIERREZ,0,09/06/1989,1,235
289,01/16/2010,6646914511,OSCAR,URUTIA,0,06/06/1992,1,106
290,01/16/2010,4191279068,EDILBERTO,JIMENEZ HUERTAS,1,06/12/1981,1,196
291,01/16/2010,5362748447,NESTOR ,CIPAMOCHA,0,12/10/1985,1,125
292,01/16/2010,1499720848,ANDREA ,ARCOS,0,10/30/1951,1,158
293,01/16/2010,8481443037,ROSA ,MARTINEZ,0,11/09/1963,1,285
294,01/16/2010,1634688821,VIRGILIO,SALAMANCA,0,02/02/1997,1,169
295,01/16/2010,8605048397,MAURICIO,SANCHEZ,1,12/19/1966,1,157
296,01/16/2010,2451196556,JUAN DAVID ,MORENO,1,05/22/1975,1,280
297,01/16/2010,7635884049,JOSE NELSON,ALVARADO,0,11/16/1990,1,146
298,01/16/2010,399782403,ALEX ,GONZALEZ,0,12/20/1993,1,12
299,01/16/2010,9439991993,HUGO ANDRES ,PEDROZA,0,08/01/1976,1,236
300,01/16/2010,839264070,ZULMA ,CARO,0,04/25/1948,1,93
301,01/16/2010,4739172858,SANTIAGO,RAMIREZ,1,06/15/1973,1,81
302,01/16/2010,8754811758,ISABEL ,PALOMINO,0,05/18/1992,1,1
303,01/16/2010,4944123129,FERNANDO,SIERRA,0,04/14/1951,1,212
304,01/16/2010,6910531843,GERARDO,ALDIR ,0,01/11/1947,1,40
305,01/17/2010,471262246,JUAN ,MILENA ARAQUE,0,09/18/1975,1,103
306,01/17/2010,5661945645,JOSE ,URIBE,0,06/07/1980,1,92
307,01/17/2010,6772466666,ANA MARIA,PINZON,0,12/19/1962,1,198
308,01/17/2010,522031275,GUSTAVO ,SANCHEZ,0,03/24/1986,1,14
309,01/17/2010,8078510457,MARIA BLANCA ,OBDULIA VIASUS URBANO,2,12/28/1990,1,19
310,01/17/2010,1356288138,MARIA ,PEDRAZA,0,01/03/1955,2,108
311,01/17/2010,2329741531,PAOLA ,GAMBOA,0,03/23/1981,2,231
312,01/17/2010,5219637089,LEONARDO ,SANA,0,12/31/1996,1,84
313,01/17/2010,5619024480,ESTHER ,PIRAZAN,0,06/19/1958,1,40
314,01/17/2010,3027289809,OCTAVIO,FIGUEROA,0,07/18/1988,2,204
315,01/17/2010,9927463640,CLAUDIA MARCELA,RAMIREZ,0,01/07/1959,1,233
316,01/17/2010,1985199644,RAFAEL ,DIAZ GAITAN,0,03/11/1968,1,91
317,01/17/2010,1244014649,EDWIN ,RODRIGUEZ,0,11/28/1941,1,101
318,01/17/2010,6969459023,MARTHA ,BENAVIDEZ MANCIPE,0,08/06/1971,1,71
319,01/17/2010,3747451300,ESTEHR JUDITH,ARIAS TAFFUR,2,03/22/1991,1,46
320,01/17/2010,7998834552,EDILBERTO,LOPEZ,1,05/30/1965,1,290
321,01/17/2010,8312239443,WILMER,LEON,0,07/02/1995,1,170
322,01/17/2010,9124972181,EULY ,TORRES,0,04/20/1963,1,286
323,01/18/2010,5195169082,MARCOS,ARENAS DIAZ,1,03/28/1948,1,127
324,01/18/2010,8341692294,JUAN ,GOMEZ ,0,04/23/1948,1,13
325,01/18/2010,5759042507,ERSON ,ESTEBAN SONCA,0,03/01/1957,1,73
326,01/18/2010,7574000958,ZULMA LORENA,TELLEZ VIRACACHA,2,08/10/1980,2,279
